rank,cand_id,marginal_gain
1,c00224,14
2,c00036,15
3,c00088,15
4,c00217,11
5,c00043,14
6,c00311,12
7,c00380,10
8,c00114,14
9,c00281,11
10,c00020,13
11,c00133,13
12,c00000,13
13,c00309,11
14,c00283,10
15,c00144,12
16,c00310,10
17,c00343,10
18,c00334,10
19,c00212,4
20,c00058,12
21,c00226,9
22,c00377,7
23,c00285,9
24,c00385,9
25,c00053,11
26,c00147,11
27,c00337,9
28,c00214,7
29,c00320,9
30,c00302,9
31,c00231,9
32,c00340,7
33,c00414,9
34,c00160,10
35,c00338,6
36,c00317,8
37,c00245,8
38,c00383,8
39,c00258,6
40,c00405,8
41,c00322,8
42,c00264,8
43,c00276,8
44,c00278,8
45,c00028,10
46,c00191,10
47,c00243,8
48,c00273,8
49,c00120,9
50,c00085,9
51,c00391,5
