rank,cand_id,marginal_gain
1,c00224,14
2,c00217,11
3,c00036,15
4,c00088,15
5,c00043,14
6,c00311,12
7,c00380,10
8,c00114,14
9,c00281,11
10,c00309,11
11,c00133,13
12,c00020,13
13,c00000,13
14,c00283,10
15,c00212,4
16,c00144,12
17,c00343,10
18,c00310,10
19,c00334,10
20,c00058,12
21,c00385,9
22,c00414,9
23,c00320,9
24,c00231,9
25,c00285,9
26,c00302,9
27,c00346,7
28,c00226,9
29,c00147,11
30,c00337,9
31,c00214,7
32,c00340,7
33,c00053,11
34,c00245,8
35,c00273,8
36,c00243,8
37,c00278,8
38,c00258,6
39,c00264,8
40,c00383,8
41,c00160,10
42,c00191,10
43,c00028,10
44,c00322,8
45,c00405,8
46,c00276,8
47,c00338,6
48,c00317,8
49,c00374,7
50,c00097,9
51,c00395,3
