rank,cand_id,marginal_gain
1,c00124,12
2,c00230,3
3,c00048,9
4,c00094,9
5,c00164,8
6,c00236,4
7,c00273,5
8,c00158,7
9,c00057,7
10,c00301,5
11,c00237,2
12,c00000,6
13,c00036,6
14,c00240,2
15,c00234,2
16,c00266,4
17,c00156,6
18,c00028,6
19,c00166,6
20,c00268,4
21,c00294,2
22,c00020,6
23,c00222,2
24,c00202,6
25,c00431,4
26,c00054,6
27,c00286,4
28,c00291,4
29,c00354,3
30,c00327,3
31,c00314,3
32,c00022,5
33,c00310,3
34,c00430,3
35,c00203,5
36,c00445,3
37,c00337,3
38,c00390,3
39,c00433,3
40,c00246,3
41,c00175,5
42,c00060,5
43,c00261,3
44,c00369,3
45,c00205,5
46,c00072,5
47,c00420,3
48,c00241,3
49,c00342,3
50,c00275,3
51,c00440,3
52,c00247,3
53,c00186,5
54,c00396,3
55,c00355,3
56,c00349,3
57,c00201,5
58,c00021,5
59,c00316,3
60,c00311,3
61,c00066,5
62,c00365,3
63,c00366,3
64,c00334,3
65,c00285,2
66,c00223,2
67,c00340,2
68,c00359,2
69,c00330,2
70,c00019,4
71,c00397,2
72,c00109,4
73,c00376,2
74,c00034,4
75,c00364,2
76,c00270,2
77,c00343,2
78,c00333,2
79,c00362,2
80,c00300,2
81,c00371,2
82,c00428,2
83,c00377,2
84,c00358,2
85,c00280,2
86,c00305,2
87,c00352,2
88,c00073,4
89,c00138,4
90,c00346,2
91,c00044,4
92,c00372,2
93,c00407,2
94,c00405,2
95,c00061,4
96,c00199,4
97,c00414,2
98,c00315,2
99,c00443,2
100,c00115,4
101,c00255,1
