rank,cand_id,marginal_gain
1,c00222,14
2,c00036,15
3,c00085,15
4,c00215,11
5,c00043,14
6,c00115,14
7,c00309,12
8,c00378,10
9,c00000,13
10,c00020,13
11,c00131,13
12,c00279,11
13,c00307,11
14,c00057,12
15,c00152,12
16,c00210,4
17,c00281,10
18,c00308,10
19,c00332,10
20,c00341,10
21,c00053,11
22,c00148,11
23,c00212,7
24,c00224,9
25,c00229,9
26,c00283,9
27,c00300,9
28,c00318,9
29,c00335,9
30,c00338,7
31,c00344,7
32,c00383,9
33,c00412,9
34,c00028,10
35,c00169,10
36,c00194,10
37,c00241,8
38,c00243,8
39,c00256,6
40,c00262,8
41,c00271,8
42,c00274,8
43,c00276,8
44,c00315,8
45,c00320,8
46,c00336,6
47,c00381,8
48,c00403,8
49,c00016,9
50,c00029,9
