rank,cand_id,marginal_gain
1,c00187,14
2,c00180,11
3,c00072,15
4,c00029,15
5,c00334,10
6,c00099,14
7,c00034,14
8,c00267,11
9,c00000,13
10,c00299,10
11,c00291,10
12,c00175,4
13,c00268,10
14,c00241,10
15,c00127,10
16,c00130,12
17,c00189,9
18,c00363,9
19,c00277,9
20,c00293,9
21,c00243,9
22,c00194,9
23,c00296,7
24,c00339,9
25,c00044,11
26,c00126,11
27,c00302,7
28,c00177,7
29,c00260,9
30,c00012,11
31,c00163,10
32,c00337,8
33,c00208,8
34,c00142,10
35,c00294,6
36,c00238,8
37,c00224,8
38,c00279,8
39,c00206,8
40,c00274,8
41,c00233,8
42,c00162,8
43,c00219,6
44,c00356,8
45,c00236,8
46,c00047,10
47,c00201,7
48,c00015,9
49,c00222,7
50,c00120,9
51,c00326,7
52,c00309,7
53,c00329,7
54,c00140,9
55,c00155,9
56,c00115,9
57,c00024,9
58,c00328,7
59,c00022,9
60,c00217,7
61,c00256,7
62,c00137,9
63,c00185,7
64,c00223,7
65,c00038,9
66,c00301,7
67,c00227,7
68,c00275,7
69,c00333,7
70,c00358,7
71,c00292,7
72,c00300,6
73,c00244,6
74,c00306,6
75,c00346,6
76,c00066,8
77,c00273,6
78,c00352,6
79,c00167,4
80,c00009,8
81,c00316,6
82,c00014,8
83,c00121,8
84,c00364,6
85,c00151,6
86,c00276,6
87,c00232,6
88,c00128,8
89,c00234,6
90,c00094,8
91,c00249,6
92,c00290,6
93,c00216,6
94,c00247,6
95,c00362,6
96,c00304,6
97,c00317,4
98,c00141,8
99,c00320,6
100,c00266,6
