rank,cand_id,marginal_gain
1,c00187,14
2,c00029,15
3,c00072,15
4,c00180,11
5,c00034,14
6,c00099,14
7,c00334,10
8,c00000,13
9,c00267,11
10,c00127,10
11,c00130,12
12,c00175,4
13,c00241,10
14,c00268,10
15,c00291,10
16,c00299,10
17,c00012,11
18,c00044,11
19,c00126,11
20,c00177,7
21,c00189,9
22,c00194,9
23,c00243,9
24,c00260,9
25,c00277,9
26,c00293,9
27,c00296,7
28,c00302,7
29,c00339,9
30,c00363,9
31,c00047,10
32,c00142,10
33,c00162,8
34,c00163,10
35,c00206,8
36,c00208,8
37,c00219,6
38,c00224,8
39,c00233,8
40,c00236,8
41,c00238,8
42,c00274,8
43,c00279,8
44,c00294,6
45,c00337,8
46,c00356,8
47,c00015,9
48,c00022,9
49,c00024,9
50,c00038,9
51,c00104,9
52,c00115,9
53,c00137,9
54,c00140,9
55,c00155,9
56,c00185,7
57,c00201,7
58,c00217,7
59,c00222,7
60,c00223,7
61,c00227,7
62,c00256,7
63,c00275,7
64,c00292,7
65,c00301,7
66,c00309,7
67,c00326,7
68,c00328,7
69,c00329,7
70,c00333,7
71,c00358,7
72,c00009,8
73,c00014,8
74,c00018,8
75,c00066,8
76,c00094,8
77,c00121,8
78,c00128,8
79,c00141,8
80,c00151,6
81,c00167,4
82,c00216,6
83,c00232,6
84,c00234,6
85,c00244,6
86,c00247,6
87,c00249,6
88,c00266,6
89,c00273,6
90,c00276,6
91,c00290,6
92,c00300,6
93,c00304,6
94,c00306,6
95,c00316,6
96,c00317,4
97,c00320,6
98,c00346,6
99,c00352,6
100,c00362,6
